,id,submitter,authors,title,comments,journal-ref,doi,report-no,categories,license,abstract,versions,update_date,authors_parsed
342381,1205.338,Yefim Bakman,Yefim Bakman,Unfair items detection in educational measurement,"14 pages, 5 figures",,,,cs.AI physics.ed-ph,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  Measurement professionals cannot come to an agreement on the definition of
the term 'item fairness'. In this paper a continuous measure of item unfairness
is proposed. The more the unfairness measure deviates from zero, the less fair
the item is. If the measure exceeds the cutoff value, the item is identified as
definitely unfair. The new approach can identify unfair items that would not be
identified with conventional procedures. The results are in accord with
experts' judgments on the item qualities. Since no assumptions about scores
distributions and/or correlations are assumed, the method is applicable to any
educational test. Its performance is illustrated through application to scores
of a real test.
","[{'version': 'v1', 'created': 'Sat, 11 Feb 2012 16:12:05 GMT'}]",2020-10-06,"[['Bakman', 'Yefim', '']]"
414517,1303.286,"Moritz M\""uhlenthaler","Moritz M\""uhlenthaler, Rolf Wanka",Fairness in Academic Course Timetabling,"appeared in PATAT 2012, pp. 114-130",,10.1007/s10479-014-1553-2,,cs.AI cs.DS,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  We consider the problem of creating fair course timetables in the setting of
a university. Our motivation is to improve the overall satisfaction of
individuals concerned (students, teachers, etc.) by providing a fair timetable
to them. The central idea is that undesirable arrangements in the course
timetable, i.e., violations of soft constraints, should be distributed in a
fair way among the individuals. We propose two formulations for the fair course
timetabling problem that are based on max-min fairness and Jain's fairness
index, respectively. Furthermore, we present and experimentally evaluate an
optimization algorithm based on simulated annealing for solving max-min fair
course timetabling problems. The new contribution is concerned with measuring
the energy difference between two timetables, i.e., how much worse a timetable
is compared to another timetable with respect to max-min fairness. We introduce
three different energy difference measures and evaluate their impact on the
overall algorithm performance. The second proposed problem formulation focuses
on the tradeoff between fairness and the total amount of soft constraint
violations. Our experimental evaluation shows that the known best solutions to
the ITC2007 curriculum-based course timetabling instances are quite fair with
respect to Jain's fairness index. However, the experiments also show that the
fairness can be improved further for only a rather small increase in the total
amount of soft constraint violations.
","[{'version': 'v1', 'created': 'Tue, 12 Mar 2013 12:46:54 GMT'}]",2015-05-01,"[['Mühlenthaler', 'Moritz', ''], ['Wanka', 'Rolf', '']]"
439783,1306.4999,Lizi Zhang,Lizi Zhang,"Safeguarding E-Commerce against Advisor Cheating Behaviors: Towards More
  Robust Trust Models for Handling Unfair Ratings",,,,,cs.SI cs.AI,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  In electronic marketplaces, after each transaction buyers will rate the
products provided by the sellers. To decide the most trustworthy sellers to
transact with, buyers rely on trust models to leverage these ratings to
evaluate the reputation of sellers. Although the high effectiveness of
different trust models for handling unfair ratings have been claimed by their
designers, recently it is argued that these models are vulnerable to more
intelligent attacks, and there is an urgent demand that the robustness of the
existing trust models has to be evaluated in a more comprehensive way. In this
work, we classify the existing trust models into two broad categories and
propose an extendable e-marketplace testbed to evaluate their robustness
against different unfair rating attacks comprehensively. On top of highlighting
the robustness of the existing trust models for handling unfair ratings is far
from what they were claimed to be, we further propose and validate a novel
combination mechanism for the existing trust models, Discount-then-Filter, to
notably enhance their robustness against the investigated attacks.
","[{'version': 'v1', 'created': 'Thu, 20 Jun 2013 20:56:20 GMT'}]",2013-06-24,"[['Zhang', 'Lizi', '']]"
440385,1306.5601,"Moritz M\""uhlenthaler","Moritz M\""uhlenthaler and Rolf Wanka","A Decomposition of the Max-min Fair Curriculum-based Course Timetabling
  Problem","revised version (fixed problems in the notation and general
  improvements); original paper: 16 pages, accepted for publication at the
  Multidisciplinary International Scheduling Conference 2013 (MISTA 2013)",,,,cs.AI,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  We propose a decomposition of the max-min fair curriculum-based course
timetabling (MMF-CB-CTT) problem. The decomposition models the room assignment
subproblem as a generalized lexicographic bottleneck optimization problem
(LBOP). We show that the generalized LBOP can be solved efficiently if the
corresponding sum optimization problem can be solved efficiently. As a
consequence, the room assignment subproblem of the MMF-CB-CTT problem can be
solved efficiently. We use this insight to improve a previously proposed
heuristic algorithm for the MMF-CB-CTT problem. Our experimental results
indicate that using the new decomposition improves the performance of the
algorithm on most of the 21 ITC2007 test instances with respect to the quality
of the best solution found. Furthermore, we introduce a measure of the quality
of a solution to a max-min fair optimization problem. This measure helps to
overcome some limitations imposed by the qualitative nature of max-min fairness
and aids the statistical evaluation of the performance of randomized algorithms
for such problems. We use this measure to show that using the new decomposition
the algorithm outperforms the original one on most instances with respect to
the average solution quality.
","[{'version': 'v1', 'created': 'Mon, 24 Jun 2013 12:54:50 GMT'}, {'version': 'v2', 'created': 'Sun, 25 Aug 2013 13:33:24 GMT'}]",2013-08-27,"[['Mühlenthaler', 'Moritz', ''], ['Wanka', 'Rolf', '']]"
487899,1312.6546,Haris Aziz,Haris Aziz and Serge Gaspers and Simon Mackenzie and Toby Walsh,Fair assignment of indivisible objects under ordinal preferences,extended version of a paper presented at AAMAS 2014,,,,cs.GT cs.AI,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  We consider the discrete assignment problem in which agents express ordinal
preferences over objects and these objects are allocated to the agents in a
fair manner. We use the stochastic dominance relation between fractional or
randomized allocations to systematically define varying notions of
proportionality and envy-freeness for discrete assignments. The computational
complexity of checking whether a fair assignment exists is studied for these
fairness notions. We also characterize the conditions under which a fair
assignment is guaranteed to exist. For a number of fairness concepts,
polynomial-time algorithms are presented to check whether a fair assignment
exists. Our algorithmic results also extend to the case of unequal entitlements
of agents. Our NP-hardness result, which holds for several variants of
envy-freeness, answers an open question posed by Bouveret, Endriss, and Lang
(ECAI 2010). We also propose fairness concepts that always suggest a non-empty
set of assignments with meaningful fairness properties. Among these concepts,
optimal proportionality and optimal weak proportionality appear to be desirable
fairness concepts.
","[{'version': 'v1', 'created': 'Mon, 23 Dec 2013 13:37:19 GMT'}, {'version': 'v2', 'created': 'Tue, 16 Sep 2014 03:57:49 GMT'}, {'version': 'v3', 'created': 'Sat, 6 Dec 2014 04:30:06 GMT'}, {'version': 'v4', 'created': 'Wed, 17 Jun 2015 04:25:04 GMT'}]",2015-06-18,"[['Aziz', 'Haris', ''], ['Gaspers', 'Serge', ''], ['Mackenzie', 'Simon', ''], ['Walsh', 'Toby', '']]"
602231,1502.07571,Martin Aleksandrov D,"Martin Aleksandrov, Haris Aziz, Serge Gaspers, Toby Walsh",Online Fair Division: analysing a Food Bank problem,"7 pages, 2 figures, 1 table",,,,cs.GT cs.AI cs.MA,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  We study an online model of fair division designed to capture features of a
real world charity problem. We consider two simple mechanisms for this model in
which agents simply declare what items they like. We analyse several axiomatic
properties of these mechanisms like strategy-proofness and envy-freeness.
Finally, we perform a competitive analysis and compute the price of anarchy.
","[{'version': 'v1', 'created': 'Thu, 26 Feb 2015 14:39:02 GMT'}, {'version': 'v2', 'created': 'Sat, 28 Feb 2015 08:05:32 GMT'}]",2015-03-03,"[['Aleksandrov', 'Martin', ''], ['Aziz', 'Haris', ''], ['Gaspers', 'Serge', ''], ['Walsh', 'Toby', '']]"
625995,1505.0572300000001,Indre Zliobaite,Indre Zliobaite,On the relation between accuracy and fairness in binary classification,"Accepted for presentation to the 2nd workshop on Fairness,
  Accountability, and Transparency in Machine Learning (http://www.fatml.org/)",,,,cs.LG cs.AI,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  Our study revisits the problem of accuracy-fairness tradeoff in binary
classification. We argue that comparison of non-discriminatory classifiers
needs to account for different rates of positive predictions, otherwise
conclusions about performance may be misleading, because accuracy and
discrimination of naive baselines on the same dataset vary with different rates
of positive predictions. We provide methodological recommendations for sound
comparison of non-discriminatory classifiers, and present a brief theoretical
and empirical analysis of tradeoffs between accuracy and non-discrimination.
","[{'version': 'v1', 'created': 'Thu, 21 May 2015 13:20:06 GMT'}]",2015-05-22,"[['Zliobaite', 'Indre', '']]"
627706,1505.0743400000001,Qing Chuan Ye,"Qing Chuan Ye, Yingqian Zhang, Rommert Dekker",Fair task allocation in transportation,,"Ye QC, et al. Fair task allocation in transportation. Omega
  (2016), http://dx.doi.org/10.1016/j.omega.2016.05.005",10.1016/j.omega.2016.05.005,,cs.AI cs.GT,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  Task allocation problems have traditionally focused on cost optimization.
However, more and more attention is being given to cases in which cost should
not always be the sole or major consideration. In this paper we study a fair
task allocation problem in transportation where an optimal allocation not only
has low cost but more importantly, it distributes tasks as even as possible
among heterogeneous participants who have different capacities and costs to
execute tasks. To tackle this fair minimum cost allocation problem we analyze
and solve it in two parts using two novel polynomial-time algorithms. We show
that despite the new fairness criterion, the proposed algorithms can solve the
fair minimum cost allocation problem optimally in polynomial time. In addition,
we conduct an extensive set of experiments to investigate the trade-off between
cost minimization and fairness. Our experimental results demonstrate the
benefit of factoring fairness into task allocation. Among the majority of test
instances, fairness comes with a very small price in terms of cost.
","[{'version': 'v1', 'created': 'Wed, 27 May 2015 19:03:07 GMT'}, {'version': 'v2', 'created': 'Wed, 18 May 2016 15:48:39 GMT'}, {'version': 'v3', 'created': 'Wed, 7 Dec 2016 15:07:41 GMT'}]",2016-12-08,"[['Ye', 'Qing Chuan', ''], ['Zhang', 'Yingqian', ''], ['Dekker', 'Rommert', '']]"
720901,1604.01734,Michel Lemaitre,"Sylvain Bouveret, Michel Lema\^itre (Toulouse)","Efficiency and Sequenceability in Fair Division of Indivisible Goods
  with Additive Preferences","COMSOC-2016, Jun 2016, Toulouse, France",,,,cs.GT cs.AI,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  In fair division of indivisible goods, using sequences of sincere choices (or
picking sequences) is a natural way to allocate the objects. The idea is the
following: at each stage, a designated agent picks one object among those that
remain. This paper, restricted to the case where the agents have numerical
additive preferences over objects, revisits to some extent the seminal paper by
Brams and King [9] which was specific to ordinal and linear order preferences
over items. We point out similarities and differences with this latter context.
In particular, we show that any Pareto-optimal allocation (under additive
preferences) is sequenceable, but that the converse is not true anymore. This
asymmetry leads naturally to the definition of a ""scale of efficiency"" having
three steps: Pareto-optimality, sequenceability without Pareto-optimality, and
non-sequenceability. Finally, we investigate the links between these efficiency
properties and the ""scale of fairness"" we have described in an earlier work
[7]: we first show that an allocation can be envy-free and non-sequenceable,
but that every competitive equilibrium with equal incomes is sequenceable. Then
we experimentally explore the links between the scales of efficiency and
fairness.
","[{'version': 'v1', 'created': 'Wed, 6 Apr 2016 19:08:34 GMT'}]",2016-04-07,"[['Bouveret', 'Sylvain', '', 'Toulouse'], ['Lemaître', 'Michel', '', 'Toulouse']]"
781414,1610.0606699999998,Aws Albarghouthi,Aws Albarghouthi and Loris D'Antoni and Samuel Drews and Aditya Nori,Fairness as a Program Property,,,,,cs.PL cs.AI,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  We explore the following question: Is a decision-making program fair, for
some useful definition of fairness? First, we describe how several algorithmic
fairness questions can be phrased as program verification problems. Second, we
discuss an automated verification technique for proving or disproving fairness
of decision-making programs with respect to a probabilistic model of the
population.
","[{'version': 'v1', 'created': 'Wed, 19 Oct 2016 15:31:34 GMT'}]",2016-10-20,"[['Albarghouthi', 'Aws', ''], [""D'Antoni"", 'Loris', ''], ['Drews', 'Samuel', ''], ['Nori', 'Aditya', '']]"
