"X","title","abstract"
1,"unfair items detection educational measurement"," measurement professionals come agreement definition term item fairness paper continuous measure item unfairness proposed unfairness measure deviates zero less fair item measure exceeds cutoff value item identified definitely unfair new approach can identify unfair items identified conventional procedures results accord experts judgments item qualities since assumptions scores distributions andor correlations assumed method applicable educational test performance illustrated application scores real test "
2,"fairness academic course timetabling"," consider problem creating fair course timetables setting university motivation improve overall satisfaction individuals concerned students teachers etc providing fair timetable central idea undesirable arrangements course timetable ie violations soft constraints distributed fair way among individuals propose two formulations fair course timetabling problem based maxmin fairness jains fairness index respectively furthermore present experimentally evaluate optimization algorithm based simulated annealing solving maxmin fair course timetabling problems new contribution concerned measuring energy difference two timetables ie much worse timetable compared another timetable respect maxmin fairness introduce three different energy difference measures evaluate impact overall algorithm performance second proposed problem formulation focuses tradeoff fairness total amount soft constraint violations experimental evaluation shows known best solutions itc curriculumbased course timetabling instances quite fair respect jains fairness index however experiments also show fairness can improved rather small increase total amount soft constraint violations "
3,"safeguarding ecommerce advisor cheating behaviors towards robust trust models handling unfair ratings"," electronic marketplaces transaction buyers will rate products provided sellers decide trustworthy sellers transact buyers rely trust models leverage ratings evaluate reputation sellers although high effectiveness different trust models handling unfair ratings claimed designers recently argued models vulnerable intelligent attacks urgent demand robustness existing trust models evaluated comprehensive way work classify existing trust models two broad categories propose extendable emarketplace testbed evaluate robustness different unfair rating attacks comprehensively top highlighting robustness existing trust models handling unfair ratings far claimed propose validate novel combination mechanism existing trust models discountthenfilter notably enhance robustness investigated attacks "
4," decomposition maxmin fair curriculumbased course timetabling problem"," propose decomposition maxmin fair curriculumbased course timetabling mmfcbctt problem decomposition models room assignment subproblem generalized lexicographic bottleneck optimization problem lbop show generalized lbop can solved efficiently corresponding sum optimization problem can solved efficiently consequence room assignment subproblem mmfcbctt problem can solved efficiently use insight improve previously proposed heuristic algorithm mmfcbctt problem experimental results indicate using new decomposition improves performance algorithm itc test instances respect quality best solution found furthermore introduce measure quality solution maxmin fair optimization problem measure helps overcome limitations imposed qualitative nature maxmin fairness aids statistical evaluation performance randomized algorithms problems use measure show using new decomposition algorithm outperforms original one instances respect average solution quality "
5,"fair assignment indivisible objects ordinal preferences"," consider discrete assignment problem agents express ordinal preferences objects objects allocated agents fair manner use stochastic dominance relation fractional randomized allocations systematically define varying notions proportionality envyfreeness discrete assignments computational complexity checking whether fair assignment exists studied fairness notions also characterize conditions fair assignment guaranteed exist number fairness concepts polynomialtime algorithms presented check whether fair assignment exists algorithmic results also extend case unequal entitlements agents nphardness result holds several variants envyfreeness answers open question posed bouveret endriss lang ecai also propose fairness concepts always suggest nonempty set assignments meaningful fairness properties among concepts optimal proportionality optimal weak proportionality appear desirable fairness concepts "
6,"online fair division analysing food bank problem"," study online model fair division designed capture features real world charity problem consider two simple mechanisms model agents simply declare items like analyse several axiomatic properties mechanisms like strategyproofness envyfreeness finally perform competitive analysis compute price anarchy "
7," relation accuracy fairness binary classification"," study revisits problem accuracyfairness tradeoff binary classification argue comparison nondiscriminatory classifiers needs account different rates positive predictions otherwise conclusions performance may misleading accuracy discrimination naive baselines dataset vary different rates positive predictions provide methodological recommendations sound comparison nondiscriminatory classifiers present brief theoretical empirical analysis tradeoffs accuracy nondiscrimination "
8,"fair task allocation transportation"," task allocation problems traditionally focused cost optimization however attention given cases cost always sole major consideration paper study fair task allocation problem transportation optimal allocation low cost importantly distributes tasks even possible among heterogeneous participants different capacities costs execute tasks tackle fair minimum cost allocation problem analyze solve two parts using two novel polynomialtime algorithms show despite new fairness criterion proposed algorithms can solve fair minimum cost allocation problem optimally polynomial time addition conduct extensive set experiments investigate tradeoff cost minimization fairness experimental results demonstrate benefit factoring fairness task allocation among majority test instances fairness comes small price terms cost "
9,"efficiency sequenceability fair division indivisible goods additive preferences"," fair division indivisible goods using sequences sincere choices picking sequences natural way allocate objects idea following stage designated agent picks one object among remain paper restricted case agents numerical additive preferences objects revisits extent seminal paper brams king specific ordinal linear order preferences items point similarities differences latter context particular show paretooptimal allocation additive preferences sequenceable converse true anymore asymmetry leads naturally definition scale efficiency three steps paretooptimality sequenceability without paretooptimality nonsequenceability finally investigate links efficiency properties scale fairness described earlier work first show allocation can envyfree nonsequenceable every competitive equilibrium equal incomes sequenceable experimentally explore links scales efficiency fairness "
10,"fairness program property"," explore following question decisionmaking program fair useful definition fairness first describe several algorithmic fairness questions can phrased program verification problems second discuss automated verification technique proving disproving fairness decisionmaking programs respect probabilistic model population "
11,"fair division via social comparison"," classical cake cutting problem resource must divided among agents different utilities agent believes received fair share resource relative agents introduce variant problem model underlying social network agents graph agents evaluate shares relative neighbors network formulation captures many situations unrealistic assume global view also exposes interesting phenomena original problem specifically say allocation locally envyfree agent envies neighbors allocation locally proportional agent values allocation much average value neighbors allocations former implying latter global envyfreeness implies local envyfreeness global proportionality imply local proportionality vice versa general result two distinct graphs set nodes allocation exists set valuation functions allocation locally proportional one fully characterize set graphs oblivious singlecutter protocol protocol uses single agent cut cake pieces admits bounded protocol on query complexity locally envyfree allocations robertsonwebb model also consider price envyfreeness compares total utility optimal allocation best utility allocation envyfree show lower bound omegasqrtn price envyfreeness global allocations fact holds local envyfreeness connected undirected graph thus sparse graphs surprisingly provide flexibility respect quality envyfree allocations "
12,"balancing lexicographic fairness utilitarian objective application kidney exchange"," balancing fairness efficiency resource allocation classical economic computational problem price fairness measures worstcase loss economic efficiency using inefficient fair allocation rule indivisible goods many settings price unacceptably high one setting kidney exchange needy patients swap willing incompatible kidney donors work close open problem regarding theoretical price fairness modern kidney exchanges propose general hybrid fairness rule balances strict lexicographic preference ordering classes agents utilitarian objective maximizes economic efficiency develop utility function rule favors disadvantaged groups lexicographically cost overall efficiency becomes high switches utilitarian objective rule one parameter proportional bound price fairness can adjusted policymakers apply rule real data large kidney exchange show hybrid rule produces reliable outcomes fairness rules "
13,"fairjudge trustworthy user prediction rating platforms"," rating platforms enable largescale collection user opinion items products users etc however many untrustworthy users give fraudulent ratings excessive monetary gains paper present fairjudge system identify fraudulent users propose three metrics fairness user quantifies trustworthy user rating products ii reliability rating measures reliable rating iii goodness product measures quality product intuitively user fair provides reliable ratings close goodness product formulate mutually recursive definition metrics address cold start problems incorporate behavioral properties users products formulation propose iterative algorithm fairjudge predict values three metrics prove fairjudge guaranteed converge bounded number iterations linear time complexity conducting five different experiments five rating platforms show fairjudge significantly outperforms nine existing algorithms predicting fair unfair users reported unfair users flipkart network review fraud investigators users correctly identified accuracy fairjudge algorithm already deployed flipkart "
14,"beyond parity fairness objectives collaborative filtering"," study fairness collaborativefiltering recommender systems sensitive discrimination exists historical data biased data can lead collaborativefiltering methods make unfair predictions users minority groups identify insufficiency existing fairness metrics propose four new metrics address different forms unfairness fairness metrics can optimized adding fairness terms learning objective experiments synthetic real data show new metrics can better measure fairness baseline fairness objectives effectively help reduce unfairness "
15,"new fairness metrics recommendation embrace differences"," study fairness collaborativefiltering recommender systems sensitive discrimination exists historical data biased data can lead collaborative filtering methods make unfair predictions minority groups users identify insufficiency existing fairness metrics propose four new metrics address different forms unfairness fairness metrics can optimized adding fairness terms learning objective experiments synthetic real data show new metrics can better measure fairness baseline fairness objectives effectively help reduce unfairness "
16," impossibility fairness generalized impossibility result decisions"," various measures can used estimate bias unfairness predictor previous work already established measures incompatible show groups differ prevalence predicted event several intuitive reasonable measures fairness probability positive prediction given occurrence nonoccurrence probability occurrence given prediction nonprediction ratio predictions occurrences group mutually exclusive one equal among groups two must differ exceptions perfect trivial alwayspositive alwaysnegative predictors consequence nonperfect nontrivial predictor must necessarily unfair two three reasonable sets criteria result readily generalizes wide range wellknown statistical quantities sensitivity specificity false positive rate precision etc can divided three mutually exclusive groups importantly results applies predictors whether algorithmic human conclude possible ways handle effect assessing designing prediction methods "
17,"networked fairness cake cutting"," introduce graphical framework fair division cake cutting comparisons agents limited underlying network structure generalize classical fairness notions envyfreeness proportionality graphical setting given simple undirected graph g allocation envyfree g agent envies neighbors share proportional g every agent values share less average among neighbors respect measure generalizations open new research directions developing simple efficient algorithms can produce fair allocations specific graph structures algorithmic frontier first propose movingknife algorithm outputs envyfree allocation trees algorithm significantly simpler discrete bounded envyfree algorithm recently designed aziz mackenzie complete graphs next give discrete bounded algorithm computing proportional allocation descendant graphs class graphs taking rooted tree connecting ancestordescendant pairs "
18,"fairnessaware machine learning perspective"," algorithms learned data increasingly used deciding many aspects life movies see prices pay medicine get yet growing evidence decision making inappropriately trained algorithms may unintentionally discriminate people example automated matching candidate cvs job descriptions algorithms may capture propagate ethnicity related biases several repairs selected algorithms already proposed underlying mechanisms discrimination happens computational perspective yet scientifically understood need develop theoretical understanding algorithms may become discriminatory establish fundamental machine learning principles prevention need analyze machine learning process whole systematically explain roots discrimination occurrence will allow devise global machine learning optimization criteria guaranteed prevention opposed pushing empirical constraints existing algorithms casebycase result stateoftheart will advance heuristic repairing proactive theoretically supported prevention needed law requires protect vulnerable people penetration big data initiatives will increase computer science needs provide solid explanations accountability public public concerns lead unnecessarily restrictive regulations machine learning "
19,"fairness testing testing software discrimination"," paper defines software fairness discrimination develops testingbased method measuring much software discriminates focusing causality discriminatory behavior evidence software discrimination found modern software systems recommend criminal sentences grant access financial products determine allowed participate promotions approach themis generates efficient test suites measure discrimination given schema describing valid system inputs themis generates discrimination tests automatically require oracle evaluate themis software systems come prior work explicit focus avoiding discrimination find themis effective discovering software discrimination stateoftheart techniques removing discrimination algorithms fail many situations times discriminating much input subdomain themis optimizations effective producing efficient test suites measuring discrimination themis efficient systems exhibit discrimination thus demonstrate fairness testing critical aspect software development cycle domains possible discrimination provide initial tools measuring software discrimination "
20," formalizing fairness prediction machine learning"," machine learning algorithms prediction increasingly used critical decisions affecting human lives various fairness formalizations firm consensus yet employed prevent algorithms systematically discriminating people based certain attributes protected law aim article survey fairness formalized machine learning literature task prediction present formalizations corresponding notions distributive justice social sciences literature provide theoretical well empirical critiques notions social sciences literature explain critiques limit suitability corresponding fairness formalizations certain domains also suggest two notions distributive justice address critiques discuss avenues prospective fairness formalizations "
21,"twostage algorithm fairnessaware machine learning"," algorithmic decision making process now affects many aspects lives standard tools machine learning classification regression subject bias data thus direct application offtheshelf tools lead specific group unfairly discriminated removing sensitive attributes data solve problem textitdisparate impact can arise nonsensitive attributes sensitive attributes correlated study fair machine learning algorithm avoids disparate impact making decision inspired twostage least squares method widely used field economics propose twostage algorithm removes bias training data proposed algorithm conceptually simple unlike existing fair algorithms designed classification tasks proposed method able deal regression tasks ii combine explanatory attributes remove reverse discrimination iii deal numerical sensitive attributes performance fairness proposed algorithm evaluated simulations synthetic realworld datasets "
22,"multiwinner voting fairness constraints"," multiwinner voting rules used select small representative subset candidates items larger set given preferences voters however candidates sensitive attributes gender ethnicity selecting committee specified types political leaning selecting subset news items algorithm chooses subset optimizing multiwinner voting rule may unbalanced selection may represent particular gender political orientation examples introduce algorithmic framework multiwinner voting problems additional requirement selected subset fair respect given set attributes framework provides flexibility specify fairness respect multiple nondisjoint attributes eg ethnicity gender specify score function study computational complexity constrained multiwinner voting problem monotone submodular score functions present several approximation algorithms matching hardness approximation results various attribute group structure types score functions also present simulations suggest adding fairness constraints may affect scores significantly compared unconstrained case "
23,"groupwise maximin fair allocation indivisible goods"," study problem allocating indivisible goods among n agents fair manner problem maximin share mms wellstudied solution concept provides fairness threshold specifically maximin share defined minimum utility agent can guarantee asked partition set goods n bundles remaining n agents pick bundles adversarially allocation deemed fair every agent gets bundle whose valuation least maximin share even though maximin shares provide natural benchmark fairness drawbacks particular sufficient rule unsatisfactory allocations motivated considerations work define stronger notion fairness called groupwise maximin share guarantee gmms gmms require maximin share guarantee achieved just respect grand bundle also among subgroups agents hence solution concept strengthens mms provides expost fairness guarantee show specific settings gmms allocations always exist also establish existence approximate gmms allocations additive valuations develop polynomialtime algorithm find allocations moreover establish scale fairness wherein show gmms implies approximate envy freeness finally empirically demonstrate existence gmms allocations large set randomly generated instances set instances additionally show algorithm achieves approximation factor better established worstcase bound "
24,"fairness supervised learning information theoretic approach"," automated decision making systems increasingly used realworld applications systems part decision rules derived minimizing training error available historical data therefore bias related sensitive attribute gender race religion etc data say due culturalhistorical discriminatory practices certain demographic system continue discrimination decisions including said bias decision rule present information theoretic framework designing fair predictors data aim prevent discrimination specified sensitive attribute supervised learning setting use equalized odds criterion discrimination demands prediction independent protected attribute conditioned actual label ensure fairness generalization simultaneously compress data auxiliary variable used prediction task auxiliary variable chosen decontaminated discriminatory attribute sense equalized odds final predictor obtained applying bayesian decision rule auxiliary variable "
25,"value alignment fair play rights service robots"," ethics safety research artificial intelligence increasingly framed terms alignment human values interests argue turings call fair play machines early often overlooked contribution alignment literature turings appeal fair play suggests need correct human behavior accommodate machines surprising inversion value alignment treated today reflections fair play motivate novel interpretation turings notorious imitation game condition intelligence instead value alignment machine demonstrates minimal degree alignment norms conversation instance can go undetected interrogated human carefully distinguish interpretation moral turing test motivated principle fair play instead depends imitation human moral behavior finally consider framework fair play can used situate debate robot rights within alignment literature argue extending rights service robots operating public spaces fair precisely sense encourages alignment interests humans machines "
26,"reinforcement learning fair dynamic pricing"," unfair pricing policies shown one negative perceptions customers can concerning pricing may result longterm losses company despite fact dynamic pricing models help companies maximize revenue fairness equality taken account order avoid unfair price differences groups customers paper shows solve dynamic pricing using reinforcement learning rl techniques prices maximized keeping balance revenue fairness demonstrate rl provides two main features support fairness dynamic pricing one hand rl able learn recent experience adapting pricing policy complex market environments hand provides tradeoff short longterm objectives hence integrating fairness models core considering two features propose application rl revenue optimization additional integration fairness part learning procedure using jains index metric results simulated environment show significant improvement fairness time maintaining optimisation revenue "
27,"deep bayesian trust dominant fair incentive mechanism crowd"," important class gametheoretic incentive mechanisms eliciting effort crowd peer based mechanisms workers paid matching answers one another classic mechanism workers solve gold standard tasks pay according accuracy gold tasks mechanism ensures stronger incentive compatibility peer based mechanisms assigning gold tasks workers becomes inefficient large scale propose novel mechanism assigns gold tasks workers exploits transitivity derive accuracy rest workers peers accuracy show resulting mechanism ensures dominant notion incentive compatibility fairness "
